Emergencia: Emergencia General | Ubicación: elche
Emergencia: Emergencia General | Ubicación: lugo
Emergencia: Emergencia General | Ubicación: Emergencia respiratoria
Emergencia: Emergencia General | Ubicación: Elche
Emergencia: Emergencia General | Ubicación: 
Emergencia: Emergencia General | Ubicación: Elche
Emergencia: Emergencia General | Ubicación: 
Emergencia: Emergencia General | Ubicación: Elche
Emergencia: Emergencia General | Ubicación: 
Emergencia: Emergencia General | Ubicación: Elche
Emergencia: Emergencia General | Ubicación: elche
Emergencia: Emergencia General | Ubicación: as
Emergencia: Emergencia General | Ubicación: adaddda
